ID;Storey;From;From description;To;To Description;Class;Item code;Type;Cable type 2;Length/qty;Calculated length;Plan unit;Diameter;Weight;To parts list;To cable list;Electrotechnical calculations;System;Neutral wire;Protective wire;PEN wire;Space name;Storey description;Occurrences;Occurrence documents;Occurrence count;Dynamic customer ID;From location;From customer ID;To Customer ID;Replacing product;GUID
#_W1714;1korrus;-KK.B156;Ühenduskarp;-KK.B142;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;9549,902186;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B156;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1714;;KK.B156;KK.B142;;5777bf25-331f-4c19-8e79-71248ddc07b8
#_W1718;1korrus;-KK.B161;Ühenduskarp;-KK.B160;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;6160,03049;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B161;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1718;;KK.B161;KK.B160;;1dadbe05-1204-4bb6-9a6f-c58e04bec421
#2_W649;1korrus;-KK.B169;Ühenduskarp;-KK.B112;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4383,2092;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B169;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#2_W649;;KK.B169;KK.B112;;1754567c-93fe-4b8a-8a8d-8a6f1bcd376e
#_W1329;2korrus;-KK.B202;Ühenduskarp;-KK.B201;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4367,676611;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B202;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1329;;KK.B202;KK.B201;;f7c85960-68b3-44c3-8172-2d1371dc7572
#_W1328;2korrus;-KK.B203;Ühenduskarp;-KK.B202;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3711,321414;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B203;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1328;;KK.B203;KK.B202;;fa1a4e57-0a3b-46c6-a3fe-5f4351ed0f0a
#_W1327;2korrus;-KK.B204;Ühenduskarp;-KK.B203;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2109,900172;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B204;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1327;;KK.B204;KK.B203;;ad11828e-8c1e-4ea6-acc4-ba619c2dca4a
#_W1326;2korrus;-KK.B205;Ühenduskarp;-KK.B204;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4831,0518;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B205;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1326;;KK.B205;KK.B204;;b228c15b-9d72-4160-9ee8-0e02e39b04ea
#_W1323;2korrus;-KK.B207;Ühenduskarp;-KK.B206;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3070,356114;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B207;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1323;;KK.B207;KK.B206;;b601993e-2f17-4362-ae1f-f743b9ea0c84
#_W1325;2korrus;-KK.B208;Ühenduskarp;-KK.B205;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3355,706401;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1325;;KK.B208;KK.B205;;18ac8229-5af8-4497-84da-9dbf359264e8
#_W1494;2korrus;-KK.B214;Ühenduskarp;-KK.B216;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;5286,903095;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B214;2. korrus;TRUE;VMHT_TP_EAH-5-012_2k-aut.drw;1;#_W1494;;KK.B214;KK.B216;;6f244f6e-b22f-4d1d-bd00-088299fdbd57
